iso_code,location,date,total_cases,total_deaths,stringency_index,population,gdp_per_capita,human_development_index
FRO,Faeroe Islands,2020-08-08,291.0,,,48865,,
FRO,Faeroe Islands,2020-08-09,291.0,,,48865,,
FRO,Faeroe Islands,2020-08-10,291.0,,,48865,,
FRO,Faeroe Islands,2020-08-11,313.0,,,48865,,
FRO,Faeroe Islands,2020-08-12,324.0,,,48865,,
FRO,Faeroe Islands,2020-08-13,339.0,,,48865,,
FRO,Faeroe Islands,2020-08-14,362.0,,,48865,,
FRO,Faeroe Islands,2020-08-15,362.0,,,48865,,
FRO,Faeroe Islands,2020-08-16,370.0,,,48865,,
FRO,Faeroe Islands,2020-08-17,372.0,,,48865,,
FRO,Faeroe Islands,2020-08-18,373.0,,,48865,,
FRO,Faeroe Islands,2020-08-19,373.0,,,48865,,
FRO,Faeroe Islands,2020-08-20,382.0,,,48865,,
FRO,Faeroe Islands,2020-08-21,383.0,,,48865,,
FRO,Faeroe Islands,2020-08-22,384.0,,,48865,,
FRO,Faeroe Islands,2020-08-23,384.0,,,48865,,
FRO,Faeroe Islands,2020-08-24,384.0,,,48865,,
FRO,Faeroe Islands,2020-08-25,410.0,,,48865,,
FRO,Faeroe Islands,2020-08-26,411.0,,,48865,,
FRO,Faeroe Islands,2020-08-27,411.0,,,48865,,
FRO,Faeroe Islands,2020-08-28,411.0,,,48865,,
FRO,Faeroe Islands,2020-08-29,411.0,,,48865,,
FRO,Faeroe Islands,2020-08-30,411.0,,,48865,,
FRO,Faeroe Islands,2020-08-31,411.0,,,48865,,
FRO,Faeroe Islands,2020-09-01,411.0,,,48865,,
FRO,Faeroe Islands,2020-09-02,411.0,,,48865,,
FRO,Faeroe Islands,2020-09-03,411.0,,,48865,,
FRO,Faeroe Islands,2020-09-04,412.0,,,48865,,
FRO,Faeroe Islands,2020-09-05,413.0,,,48865,,
FRO,Faeroe Islands,2020-09-06,413.0,,,48865,,
FRO,Faeroe Islands,2020-09-07,413.0,,,48865,,
FRO,Faeroe Islands,2020-09-08,413.0,,,48865,,
FRO,Faeroe Islands,2020-09-09,414.0,,,48865,,
FRO,Faeroe Islands,2020-09-10,415.0,,,48865,,
FRO,Faeroe Islands,2020-09-11,415.0,,,48865,,
FRO,Faeroe Islands,2020-09-12,416.0,,,48865,,
FRO,Faeroe Islands,2020-09-13,418.0,,,48865,,
FRO,Faeroe Islands,2020-09-14,423.0,,,48865,,
FRO,Faeroe Islands,2020-09-15,423.0,,,48865,,
FRO,Faeroe Islands,2020-09-16,428.0,,,48865,,
FRO,Faeroe Islands,2020-09-17,428.0,,,48865,,
FRO,Faeroe Islands,2020-09-18,429.0,,,48865,,
FRO,Faeroe Islands,2020-09-19,430.0,,,48865,,
